module/file,dependent_count
usize,850
alloc::alloc::Global,609
alloc::vec::Vec,560
u32,482
stwo_prover::core::fields::qm31::QM31,474
stwo_prover::core::fields::m31::M31,469
bool,294
core::option::Option,292
stwo_prover::core::backend::simd::m31::PackedM31,209
str,203
core::slice::iter::Iter,169
core::result::Result,160
core::ops::range::Range,157
core::iter::adapters::map::Map,154
stwo_prover::core::backend::simd::qm31::PackedQM31,146
stwo_prover::core::pcs::utils::TreeVec,138
stwo_prover::core::backend::simd::SimdBackend,135
stwo_prover::core::circle::CirclePoint,131
stwo_prover::core::poly::BitReversedOrder,123
stwo_prover::core::backend::simd::column::BaseColumn,116
stwo_prover::core::fields::cm31::CM31,113
core::fmt::Arguments,112
stwo_prover::core::poly::circle::evaluation::CircleEvaluation,108
stwo_prover::core::poly::circle::domain::CircleDomain,106
stwo_prover::core::circle::Coset,105
core::fmt::Formatter,101
core::fmt::Error,100
stwo_prover::core::fields::secure_column::SecureColumnByCoords,97
stwo_prover::core::backend::cpu::CpuBackend,94
core::core_simd::vector::Simd,88
alloc::string::String,87
stwo_prover::core::poly::circle::canonic::CanonicCoset,81
alloc::vec::into_iter::IntoIter,81
stwo_prover::constraint_framework::expr::ExtExpr,81
stwo_prover::core::backend::simd::cm31::PackedCM31,81
stwo_prover::constraint_framework::logup::LookupElements,80
stwo_prover::core::fields::m31::BaseField,78
core::fmt::rt::Argument,76
core::fmt::rt::Placeholder,76
core::fmt::rt::UnsafeArg,76
stwo_prover::constraint_framework::expr::BaseExpr,76
stwo_prover::core::lookups::utils::Fraction,73
stwo_prover::core::backend::simd::very_packed_m31::Vectorized,70
stwo_prover::core::fields::qm31::SecureField,69
tracing_core::metadata::Level,66
alloc::boxed::Box,65
stwo_prover::core::lookups::mle::Mle,64
stwo_prover::core::poly::circle::poly::CirclePoly,61
stwo_prover::constraint_framework::info::ArithmeticCounter,59
stwo_prover::examples::blake::preprocessed_columns::XorTable,57
isize,56
core::iter::adapters::zip::Zip,54
stwo_prover::constraint_framework::component::FrameworkComponent,53
stwo_prover::constraint_framework::info::InfoEvaluator,53
num_traits::identities::Zero,50
core::fmt::builders::DebugStruct,50
stwo_prover::core::circle::CirclePointIndex,50
core::panicking::AssertKind,49
u8,49
itertools::Itertools,48
stwo_prover::constraint_framework::logup::LogupAtRow,48
stwo_prover::core::poly::twiddles::TwiddleTree,48
i32,47
std::hash::random::RandomState,45
stwo_prover::core::channel::Channel,45
core::fmt::rt::Count,44
core::marker::Sized,44
tracing_core::callsite::DefaultCallsite,44
tracing_core::field::Field,44
tracing_core::field::FieldSet,44
tracing_core::field::ValueSet,44
tracing_core::metadata::LevelFilter,44
tracing_core::metadata::Metadata,44
tracing_core::subscriber::Interest,44
tracing::span::Span,43
std::collections::hash::map::HashMap,41
stwo_prover::core::poly::circle::secure_poly::SecureEvaluation,41
